Gender,Major,Program,GPA
Male,Btech,CHD,6.47
Male,MS,ECE,8.24
Male,Btech,CSE,7.38
Male,MS,CND,7.5
Male,PHD,CND,8.76
Female,Btech,ECE,6.82
Male,Btech,ECE,6.94
Male,MS,CND,8.34
Male,Btech,CSE,5.2
Male,MS,CND,8.18
Male,Btech,ECE,5.28
Male,Btech,CSE,8.08
Male,Btech,CHD,7.06
Male,MS,CND,8.81
Male,Btech,ECE,7.07
Male,Btech,CND,6.36
Female,Btech,ECE,4.37
Male,Btech,CND,7.62
Male,Btech,ECE,6.72
Male,Btech,CND,6.94
Female,PHD,ECE,8.78
Male,Btech,CHD,5.99
Male,Btech,CHD,8.37
Male,Btech,ECE,9.51
Male,Btech,ECE,6.3
Male,Btech,CHD,5.92
Female,Btech,CSE,8.11
Male,PHD,CHD,8.7
Female,Btech,CSE,7.89
Male,Btech,ECE,6.35
Male,Btech,CSE,6.83
Male,Btech,ECE,9.45
Male,Btech,ECE,9.17
Female,Btech,ECE,7.06
Male,Btech,CSE,8.11
Female,Btech,ECE,6.23
Female,Btech,ECE,7.41
Female,Btech,ECE,8.93
Male,MS,CSE,8.08
Male,PHD,CSE,8.43
Female,MS,ECE,8.03
Male,MS,CND,8.91
Female,Btech,ECE,6.18
Male,Btech,ECE,7.75
Female,Btech,CSE,7.62
Female,Btech,CSE,6.28
Male,MS,CND,7.69
Female,PHD,CND,8.46
Male,Btech,CSE,7.45
Male,Btech,CSE,5.89
Male,PHD,CSE,8.07
Other,Btech,ECE,6.66
Female,Btech,CSE,7.9
Male,Btech,CHD,7.29
Other,PHD,ECE,9.35
Male,Btech,CSE,7.55
Female,MS,CND,7.74
Male,Btech,ECE,6.93
Male,PHD,CND,7.92
Male,Btech,CSE,7.47
Male,MS,CND,8.76
Male,PHD,CHD,8.85
Female,Btech,CSE,7.53
Male,Btech,CSE,7.72
Male,MS,ECE,8.63
Male,Btech,ECE,6.94
Male,Btech,CSE,6.85
Male,Btech,ECE,7.26
Male,Btech,ECE,8.73
Male,Btech,ECE,6.71
Male,PHD,CHD,7.25
Female,MS,CND,8.3
Male,Btech,CSE,7.08
Other,Btech,CND,5.64
Female,Btech,CHD,9.89
Male,Btech,ECE,8.35
Male,Btech,ECE,7.54
Female,MS,CSE,8.47
Male,Btech,CSE,6.84
Female,MS,CHD,8.1
Female,Btech,CND,7.0
Male,PHD,CSE,7.57
Male,MS,CHD,7.91
Male,Btech,ECE,7.64
Female,Btech,ECE,7.9
Male,Btech,CSE,7.61
Male,Btech,CSE,6.68
Female,Btech,ECE,7.71
Male,Btech,CSE,7.34
Male,Btech,CSE,8.25
Male,Btech,CSE,5.58
Female,Btech,CSE,8.26
Female,Btech,ECE,5.52
Male,Btech,ECE,8.24
Female,Btech,CSE,6.3
Female,Btech,ECE,7.77
Male,Btech,ECE,7.87
Male,Btech,CSE,7.14
Male,Btech,ECE,4.6
Male,Btech,CSE,7.35
Female,PHD,ECE,8.68
Female,Btech,CND,7.88
Male,Btech,ECE,8.6
Male,PHD,ECE,8.3
Female,Btech,ECE,6.98
Female,PHD,CSE,8.24
Female,PHD,ECE,8.83
Female,Btech,ECE,5.73
Female,Btech,ECE,7.01
Female,MS,CSE,8.53
Male,Btech,CSE,8.05
Male,Btech,CSE,7.73
Male,Btech,ECE,6.71
Male,Btech,CSE,6.72
Male,MS,CSE,7.41
Male,Btech,ECE,8.45
Male,Btech,CHD,7.85
Male,Btech,ECE,7.04
Other,Btech,CSE,6.09
Male,MS,CHD,7.69
Male,Btech,ECE,7.23
Male,Btech,CHD,9.18
Male,Btech,CND,7.0
Male,Btech,ECE,8.25
Female,Btech,CHD,6.13
Male,MS,ECE,7.62
Male,PHD,ECE,8.67
Male,Btech,CSE,5.59
Female,Btech,ECE,7.61
Female,PHD,CHD,8.37
Female,Btech,CSE,6.89
Male,Btech,CHD,6.96
Female,MS,CSE,8.08
Male,MS,CHD,7.52
Male,Btech,CHD,5.98
Male,Btech,ECE,7.21
Female,Btech,ECE,6.81
Male,Btech,ECE,5.99
Female,Btech,ECE,6.69
Male,Btech,ECE,7.94
Female,Btech,CHD,8.17
Male,Btech,CND,6.95
Male,Btech,ECE,7.71
Female,PHD,CND,7.65
Male,MS,CND,9.66
Female,MS,CND,7.76
Female,MS,CHD,9.02
Female,Btech,CSE,7.25
Male,MS,CSE,8.92
Male,Btech,ECE,6.7
Male,Btech,ECE,7.61
Female,MS,CSE,8.03
Male,Btech,CND,8.61
Male,Btech,ECE,6.27
Female,Btech,CSE,7.73
Male,Btech,ECE,6.75
Male,Btech,CSE,6.66
Male,Btech,CHD,6.46
Other,Btech,CHD,6.53
Male,Btech,CSE,7.38
Female,Btech,ECE,6.76
Male,Btech,CSE,7.45
Female,Btech,ECE,6.56
Male,MS,CND,8.48
Male,Btech,ECE,8.36
Female,MS,CSE,8.61
Male,Btech,ECE,8.39
Male,Btech,CSE,6.71
Female,PHD,CND,8.39
Male,MS,CSE,8.42
Female,Btech,ECE,8.22
Female,Btech,CSE,6.03
Male,Btech,ECE,6.65
Female,Btech,ECE,5.45
Male,MS,CSE,7.0
Female,Btech,CND,6.55
Male,Btech,ECE,7.47
Male,Btech,CSE,6.86
Male,Btech,ECE,4.45
Female,PHD,CND,7.41
Female,Btech,CND,7.9
Male,MS,CND,7.13
Male,PHD,CHD,8.04
Female,Btech,ECE,8.91
Female,MS,ECE,7.11
Male,Btech,CND,7.38
Male,Btech,CSE,7.7
Female,PHD,CHD,7.67
Female,Btech,ECE,6.32
Male,Btech,ECE,7.82
Male,MS,CND,7.28
Female,MS,ECE,7.92
Male,Btech,ECE,6.93
Male,Btech,ECE,7.79
Male,Btech,CHD,5.91
Male,Btech,ECE,6.19
Male,PHD,CND,8.9
Male,Btech,CSE,6.69
Female,MS,CSE,8.23
Male,PHD,CSE,8.0
Male,Btech,ECE,8.9
Male,MS,CHD,8.86
Male,Btech,ECE,7.86
Male,PHD,ECE,8.4
Male,Btech,CSE,7.02
Male,Btech,ECE,5.63
Male,Btech,CSE,9.48
Male,PHD,ECE,8.53
Male,Btech,CSE,6.33
Male,MS,CHD,8.24
Male,Btech,CHD,6.52
Male,Btech,CHD,7.87
Male,Btech,ECE,7.81
Female,MS,CHD,8.48
Female,Btech,CHD,7.81
Male,Btech,CSE,6.52
Male,MS,CND,8.82
Female,Btech,ECE,8.25
Male,Btech,CND,8.3
Male,Btech,ECE,8.49
Female,Btech,CSE,7.02
Male,PHD,CND,7.31
Female,PHD,CND,7.71
Male,MS,CSE,8.47
Female,Btech,ECE,9.33
Male,Btech,CSE,8.78
Male,Btech,CHD,7.98
Male,Btech,ECE,6.31
Male,Btech,CHD,7.62
Male,Btech,ECE,8.1
Male,Btech,CSE,5.94
Male,MS,CND,7.23
Female,Btech,CND,8.33
Female,Btech,CHD,4.64
Female,MS,CSE,7.65
Male,Btech,ECE,6.71
Male,Btech,ECE,7.83
Male,Btech,ECE,6.4
Male,Btech,CSE,7.51
Female,Btech,CSE,6.64
Male,Btech,CSE,6.13
Male,Btech,ECE,6.14
Female,MS,CHD,8.83
Male,Btech,CSE,6.35
Male,Btech,ECE,8.8
Male,MS,CND,8.04
Male,Btech,ECE,6.8
Female,Btech,CSE,6.28
Other,MS,CHD,7.85
Other,PHD,CHD,8.59
Male,Btech,ECE,6.69
Male,Btech,CND,6.84
Male,Btech,CSE,7.73
Female,Btech,CSE,6.48
Male,PHD,CHD,7.57
Male,PHD,ECE,9.16
Male,Btech,ECE,7.15
Male,Btech,CSE,8.65
Male,MS,CHD,8.37
Male,Btech,ECE,7.63
Male,PHD,CHD,8.81
Male,Btech,CHD,8.27
Male,MS,CHD,7.28
Female,PHD,ECE,8.08
Female,Btech,ECE,6.56
Male,Btech,ECE,7.32
Female,Btech,ECE,6.98
Male,MS,ECE,8.42
Female,Btech,CSE,7.6
Female,MS,CHD,9.04
Female,MS,ECE,8.62
Male,Btech,CHD,6.2
Female,Btech,CHD,5.72
Male,Btech,ECE,6.96
Female,MS,CSE,9.39
Female,Btech,CHD,6.59
Female,MS,CSE,5.57
Female,PHD,CSE,8.09
Male,Btech,CSE,8.77
Male,Btech,CSE,8.71
Female,Btech,CSE,6.05
Male,MS,ECE,7.5
Female,Btech,CND,6.08
Male,Btech,CSE,6.59
Female,MS,CSE,9.34
Male,Btech,ECE,6.26
Female,Btech,ECE,8.08
Male,Btech,CSE,6.85
Female,Btech,CSE,5.91
Male,Btech,CSE,9.1
Female,Btech,CND,7.34
Male,Btech,ECE,6.74
Male,PHD,CND,8.58
Female,Btech,CHD,7.53
Female,Btech,ECE,5.75
Male,Btech,ECE,6.72
Male,PHD,CSE,8.6
Male,Btech,CHD,5.03
Male,Btech,CSE,8.02
Other,Btech,ECE,6.54
Male,Btech,ECE,7.12
Female,Btech,CND,6.62
Male,Btech,ECE,7.32
Female,Btech,CHD,7.47
Male,Btech,CSE,7.71
Male,Btech,ECE,5.72
Male,Btech,CND,8.16
Male,MS,ECE,8.11
Male,Btech,CSE,6.31
Male,PHD,CHD,8.67
Female,Btech,CHD,8.91
Male,Btech,CSE,6.91
Male,Btech,CSE,9.39
Male,MS,ECE,9.45
Female,Btech,ECE,5.16
Male,PHD,CHD,8.64
Male,Btech,CHD,5.19
Male,MS,ECE,7.97
Male,MS,CND,7.4
Female,PHD,CSE,7.68
Male,Btech,ECE,5.98
Male,Btech,ECE,7.47
Female,Btech,CSE,7.18
Male,Btech,CND,5.57
Male,MS,CSE,8.07
Male,Btech,ECE,6.75
Female,Btech,ECE,7.91
Female,Btech,CSE,4.8
Male,Btech,CHD,7.29
Male,Btech,CSE,8.33
Male,Btech,ECE,7.29
Male,MS,ECE,7.37
Female,MS,CND,7.29
Male,Btech,CSE,7.93
Male,Btech,ECE,7.04
Male,Btech,ECE,6.49
Male,Btech,CHD,7.54
Female,Btech,CSE,6.95
Male,PHD,CSE,8.22
Female,Btech,CHD,6.68
Male,Btech,ECE,8.0
Female,MS,CSE,7.37
Male,Btech,ECE,7.44
Male,Btech,CSE,5.2
Male,Btech,ECE,6.07
Male,MS,ECE,7.8
Male,MS,CSE,8.15
Male,MS,ECE,7.58
Male,MS,ECE,7.16
Female,Btech,CND,6.36
Male,Btech,ECE,6.23
Male,Btech,ECE,5.54
Male,Btech,ECE,8.45
Male,Btech,CSE,7.32
Male,Btech,CSE,5.03
Female,Btech,CSE,5.37
Female,Btech,CSE,7.06
Male,Btech,ECE,7.43
Male,MS,ECE,8.26
Male,Btech,CSE,5.44
Male,PHD,CHD,8.48
Male,Btech,CSE,6.69
Female,MS,CSE,8.33
Male,Btech,CSE,7.95
Female,Btech,CSE,7.44
Male,PHD,CND,8.32
Male,Btech,CSE,7.12
Female,Btech,CSE,7.67
Male,PHD,CSE,8.41
Male,PHD,CHD,9.04
Male,Btech,ECE,6.85
Male,PHD,CHD,8.65
Female,Btech,CHD,6.67
Female,Btech,CSE,6.97
Male,Btech,ECE,6.59
Female,Btech,CSE,7.8
Male,MS,CSE,8.87
Male,Btech,CSE,6.0
Male,Btech,ECE,5.92
Female,Btech,ECE,6.63
Male,Btech,CND,6.09
Male,Btech,CSE,6.46
Female,Btech,CSE,7.16
Male,Btech,CSE,6.69
Male,Btech,ECE,8.68
Male,MS,CSE,7.61
Male,MS,ECE,7.72
Male,Btech,ECE,6.08
Female,Btech,CSE,7.58
Female,Btech,ECE,6.31
Female,Btech,CSE,5.71
Female,Btech,ECE,5.95
Male,Btech,CND,7.67
Male,Btech,ECE,7.52
Male,PHD,CSE,8.49
Male,PHD,CND,8.44
Male,Btech,ECE,6.95
Male,MS,CND,6.95
Female,Btech,CHD,6.61
Male,MS,CHD,8.14
Male,Btech,CSE,7.69
Male,Btech,CSE,8.44
Male,PHD,CHD,8.45
Male,Btech,CSE,8.43
Male,Btech,CHD,6.98
Male,MS,CND,6.98
Male,Btech,CSE,7.23
Female,Btech,CND,6.24
Male,MS,CHD,7.99
Male,MS,ECE,9.1
Female,PHD,CHD,8.09
Male,PHD,CND,8.71
Other,Btech,CSE,7.76
Male,Btech,CSE,6.4
Male,Btech,CSE,7.7
Male,MS,CSE,8.93
Male,Btech,CHD,7.34
Female,MS,CHD,8.85
Male,Btech,CSE,7.25
Female,PHD,ECE,8.38
Male,Btech,CHD,6.54
Male,MS,CHD,7.92
Male,Btech,ECE,5.42
Male,Btech,CSE,6.68
Male,Btech,CSE,8.02
Male,Btech,CSE,7.44
Male,Btech,CSE,7.09
Male,Btech,ECE,7.8
Female,PHD,CSE,8.77
Male,Btech,CSE,7.22
Female,Btech,ECE,7.64
Male,Btech,ECE,7.17
Female,MS,CHD,8.69
Male,Btech,CND,8.1
Male,MS,CHD,7.16
Male,MS,CSE,7.39
Male,MS,CND,9.13
Female,MS,ECE,8.31
Female,Btech,ECE,6.51
Female,Btech,CSE,8.08
Male,Btech,ECE,5.93
Male,Btech,CSE,5.78
Male,Btech,ECE,8.13
Male,Btech,CSE,6.86
Female,Btech,CSE,6.26
Female,Btech,ECE,6.93
Female,Btech,ECE,9.53
Male,Btech,ECE,6.52
Male,Btech,ECE,6.46
Male,Btech,ECE,6.76
Male,PHD,CSE,8.95
Female,MS,CSE,7.33
Male,Btech,ECE,6.24
Male,Btech,CSE,7.52
Male,Btech,ECE,6.0
Female,MS,CHD,8.01
Male,Btech,ECE,5.8
Male,MS,CND,9.12
Female,PHD,ECE,8.7
Male,Btech,ECE,7.92
Male,Btech,CSE,7.35
Male,Btech,CSE,5.46
Male,Btech,CSE,7.68
Male,Btech,ECE,5.67
Female,PHD,CSE,8.31
Male,Btech,CHD,7.08
Female,PHD,CSE,7.73
Other,Btech,CSE,7.27
Male,Btech,CSE,8.79
Male,Btech,ECE,6.01
Female,MS,CSE,8.4
Female,Btech,CSE,6.19
Female,Btech,ECE,7.97
Female,Btech,CSE,7.87
Female,Btech,CSE,5.68
Male,Btech,ECE,6.83
Male,Btech,CND,8.14
Male,Btech,ECE,6.13
Male,Btech,CSE,5.01
Female,Btech,CSE,9.0
Female,MS,CSE,8.69
Male,Btech,ECE,6.56
Female,Btech,ECE,8.54
Male,MS,CND,7.43
Female,MS,ECE,7.65
Female,MS,CSE,7.82
Male,Btech,CND,7.49
Female,Btech,CSE,7.4
Other,PHD,ECE,7.85
Male,Btech,CHD,7.94
Male,Btech,ECE,7.97
Male,Btech,CSE,8.56
Female,Btech,CHD,6.08
Male,MS,CND,7.45
Male,Btech,ECE,7.39
Male,Btech,ECE,7.14
Male,Btech,ECE,8.27
Male,Btech,CND,5.55
Male,Btech,CSE,7.67
Male,Btech,CSE,6.94
Male,Btech,ECE,5.85
Male,Btech,CSE,7.69
Male,Btech,ECE,6.05
Female,PHD,CHD,8.57
Female,PHD,CND,8.21
Male,MS,CHD,7.85
Male,Btech,CSE,7.09
Male,MS,ECE,8.52
Male,MS,CSE,8.93
Female,Btech,CND,8.0
Male,Btech,CSE,6.55
Female,MS,CSE,8.99
Female,Btech,CND,6.78
Male,MS,ECE,7.81
Male,Btech,ECE,6.43
Male,Btech,ECE,7.99
Female,MS,CND,7.67
Male,PHD,CHD,8.18
Male,Btech,CSE,7.78
Male,Btech,CHD,7.47
Male,Btech,CSE,7.63
Male,Btech,ECE,6.85
Male,Btech,CSE,7.42
Female,Btech,CSE,6.57
Female,Btech,CND,7.19
Male,Btech,ECE,9.26
Male,PHD,CND,7.55
Female,PHD,CSE,8.35
Male,Btech,ECE,6.48
Male,Btech,ECE,7.28
Male,Btech,CSE,6.45
Male,Btech,CSE,6.38
Male,Btech,ECE,6.55
Female,Btech,CHD,7.03
Male,Btech,CSE,6.81
Female,MS,ECE,7.2
Male,MS,CND,9.75
Male,Btech,CSE,6.05
Male,MS,ECE,7.01
Female,MS,CHD,8.02
Male,Btech,CSE,7.49
Male,Btech,CSE,6.75
Male,Btech,CND,8.62
Male,Btech,CND,8.52
Male,MS,ECE,8.05
Male,Btech,CSE,6.77
Male,MS,CND,8.42
Female,MS,CND,7.56
Female,Btech,CSE,7.41
Male,MS,ECE,7.23
Male,MS,CSE,8.29
Male,Btech,CND,8.15
Male,Btech,CSE,5.86
Male,Btech,ECE,8.09
Male,MS,CSE,7.8
Female,MS,ECE,8.69
Female,Btech,ECE,7.83
Male,Btech,ECE,5.83
Male,MS,CHD,7.0
Female,Btech,ECE,7.61
Female,Btech,ECE,7.91
Female,Btech,CSE,6.84
Male,MS,CND,7.95
Male,Btech,CSE,7.24
Male,MS,ECE,8.48
Female,Btech,CHD,6.85
Male,MS,CSE,6.78
Male,Btech,CND,7.92
Female,Btech,CND,7.32
Female,PHD,CSE,8.6
Female,MS,CSE,8.35
Male,Btech,ECE,7.85
Male,Btech,CND,6.68
Male,Btech,CSE,8.26
Other,Btech,CSE,8.28
Male,MS,ECE,6.17
Male,Btech,CHD,8.11
Female,MS,ECE,9.07
Female,Btech,CSE,5.59
Male,MS,CSE,8.67
Male,Btech,CSE,8.18
Male,MS,CHD,8.3
Male,Btech,ECE,6.32
Female,MS,CND,8.86
Male,Btech,CSE,6.48
Male,MS,CSE,7.15
Male,PHD,CSE,8.06
Male,Btech,CND,6.32
Female,MS,ECE,8.59
Male,PHD,CHD,8.89
Male,PHD,CND,8.03
Male,Btech,CSE,5.05
Female,Btech,ECE,6.23
Male,PHD,CHD,8.2
Male,Btech,CHD,8.93
Female,Btech,CHD,6.54
Female,Btech,CSE,8.89
Male,Btech,ECE,7.95
Male,Btech,CND,7.56
Male,Btech,ECE,6.15
Male,MS,CND,7.42
Other,Btech,CHD,7.2
Male,Btech,ECE,6.7
Male,MS,CHD,9.07
Male,Btech,CSE,7.34
Male,MS,CND,7.7
Female,Btech,ECE,8.96
Female,Btech,CSE,7.31
Male,Btech,CND,6.6
Female,Btech,CHD,7.04
Male,Btech,CSE,5.04
Male,Btech,CND,6.79
Male,MS,CHD,7.88
Female,Btech,CSE,6.62
Male,Btech,CND,6.15
Male,Btech,ECE,7.79
Male,Btech,ECE,7.33
Female,PHD,CSE,8.48
Male,Btech,ECE,6.12
Male,Btech,CSE,7.76
Female,Btech,CND,4.64
Female,Btech,CSE,7.33
Male,Btech,CSE,5.58
Male,Btech,ECE,6.11
Female,Btech,CND,7.47
Male,Btech,ECE,9.9
Male,Btech,ECE,7.93
Male,Btech,CSE,6.07
Other,PHD,ECE,7.55
Female,PHD,ECE,8.38
Male,Btech,ECE,7.45
Male,Btech,CSE,7.88
Female,Btech,CSE,6.62
Male,Btech,CHD,6.31
Male,Btech,CSE,5.86
Male,MS,CSE,8.21
Female,Btech,CND,8.23
Male,MS,ECE,9.76
Male,MS,CND,8.14
Male,Btech,ECE,8.16
Male,Btech,ECE,6.65
Male,Btech,ECE,5.91
Female,Btech,CSE,5.57
Male,Btech,ECE,7.22
Male,Btech,CSE,8.31
Male,MS,ECE,6.99
Male,MS,CND,8.71
Male,Btech,ECE,8.06
Female,Btech,ECE,7.11
Female,Btech,ECE,5.78
Male,MS,CHD,8.43
Female,Btech,CSE,7.59
Male,Btech,CSE,6.47
Male,MS,CSE,8.33
Female,MS,ECE,7.43
Female,MS,CHD,8.57
Male,Btech,ECE,5.72
Female,Btech,CSE,7.81
Female,MS,CSE,8.18
Male,PHD,CSE,8.02
Male,MS,ECE,6.94
Male,Btech,ECE,7.83
Male,Btech,ECE,7.29
Female,Btech,ECE,8.73
Male,Btech,CSE,8.49
Male,PHD,CSE,9.17
Female,Btech,ECE,8.19
Female,Btech,CHD,6.36
Male,Btech,CSE,6.67
Female,MS,CND,8.32
Male,MS,CHD,7.3
Male,MS,CSE,7.18
Male,MS,CSE,7.48
Male,Btech,ECE,5.43
Female,Btech,CSE,7.47
Female,Btech,CHD,6.04
Male,MS,CSE,6.68
Male,MS,CSE,8.45
Male,MS,ECE,9.18
Female,PHD,CND,8.12
Female,Btech,CND,5.96
Female,Btech,CSE,6.24
Female,Btech,CSE,9.04
Female,Btech,CSE,7.74
Male,MS,ECE,7.22
Female,Btech,ECE,8.02
Female,Btech,ECE,7.48
Male,Btech,CSE,7.19
Male,Btech,ECE,7.09
Female,MS,CSE,7.57
Male,PHD,CSE,9.27
Male,MS,ECE,8.46
Female,Btech,ECE,6.75
Female,Btech,CHD,8.08
Female,Btech,ECE,6.18
Male,Btech,CSE,6.21
Female,Btech,CSE,7.71
Male,Btech,CHD,6.94
Female,Btech,ECE,8.55
Female,Btech,ECE,6.49
Male,PHD,ECE,7.48
Male,Btech,CSE,6.25
Female,Btech,CSE,6.13
Male,Btech,ECE,6.7
Male,Btech,CHD,9.13
Male,Btech,ECE,7.25
Male,Btech,CND,7.66
Female,Btech,CSE,8.55
Male,Btech,ECE,7.21
Male,Btech,CSE,6.89
Female,Btech,ECE,6.22
Male,Btech,ECE,7.74
Male,Btech,ECE,8.59
Other,Btech,CSE,5.18
Male,Btech,CSE,6.48
Male,Btech,CND,7.91
Male,Btech,CSE,5.44
Male,MS,ECE,7.26
Female,Btech,ECE,4.67
Female,Btech,CSE,7.95
Female,Btech,ECE,6.78
Male,Btech,CHD,5.9
Female,Btech,CND,6.21
Female,Btech,ECE,7.44
Female,Btech,ECE,8.5
Male,Btech,CSE,9.61
Male,Btech,ECE,6.69
Male,Btech,CSE,5.35
Male,Btech,CSE,5.46
Male,Btech,CND,8.03
Female,Btech,CSE,7.98
Male,Btech,ECE,7.48
Male,Btech,ECE,6.94
Female,Btech,CSE,6.47
Male,MS,ECE,7.26
Female,MS,CHD,8.89
Male,PHD,ECE,7.9
Male,PHD,CND,7.98
Female,MS,CSE,8.28
Male,Btech,CSE,6.41
Male,MS,CHD,8.89
Female,Btech,CSE,7.0
Female,MS,CND,7.57
Male,Btech,ECE,7.28
Male,MS,CHD,7.93
Male,Btech,CSE,7.99
Male,Btech,CND,8.54
Male,Btech,CHD,6.68
Male,Btech,CND,6.9
Male,Btech,CND,5.65
Male,Btech,ECE,7.12
Male,PHD,CSE,8.62
Male,MS,CSE,8.65
Male,Btech,CSE,6.91
Male,Btech,CSE,6.48
Female,Btech,CSE,7.21
Male,Btech,CSE,6.85
Male,MS,ECE,7.58
Male,Btech,CND,8.14
Female,Btech,CHD,6.81
Male,Btech,ECE,6.48
Female,Btech,CND,7.49
Male,Btech,CSE,7.25
Male,Btech,CSE,7.79
Female,PHD,CSE,8.38
Female,Btech,CSE,7.17
Male,Btech,CSE,7.64
Female,Btech,ECE,6.06
Male,Btech,CHD,7.81
Male,Btech,CND,6.72
Male,Btech,CSE,6.44
Male,Btech,CND,8.01
Male,Btech,ECE,7.55
Male,Btech,CHD,8.24
Female,Btech,CSE,5.3
Female,Btech,CND,6.75
Female,Btech,CSE,7.52
Male,Btech,CSE,8.14
Male,Btech,CSE,7.13
Female,MS,ECE,9.31
Male,Btech,ECE,7.28
Female,Btech,CSE,8.58
Male,Btech,CSE,5.36
Female,Btech,CHD,6.77
Male,Btech,CHD,10.0
Male,Btech,CHD,6.72
Male,Btech,ECE,6.56
Male,Btech,CSE,7.98
Male,Btech,ECE,6.96
Female,Btech,CND,7.3
Female,MS,CSE,9.03
Female,Btech,ECE,8.4
Male,MS,CND,7.28
Male,Btech,CSE,8.8
Male,Btech,ECE,6.06
Male,Btech,CSE,8.09
Male,MS,ECE,8.59
Male,Btech,CSE,6.36
Male,Btech,CSE,7.1
Female,Btech,ECE,5.84
Female,Btech,CSE,7.02
Male,Btech,ECE,8.64
Male,Btech,CSE,6.01
Female,Btech,ECE,5.72
Male,MS,CSE,6.55
Male,Btech,ECE,6.98
Female,Btech,CSE,9.21
Male,Btech,CHD,5.92
Male,Btech,CSE,5.82
Female,MS,CSE,8.09
Male,Btech,ECE,7.19
Male,Btech,CSE,5.71
Female,Btech,CSE,6.98
Male,Btech,ECE,5.7
Male,Btech,CHD,6.84
Male,PHD,CSE,8.03
Male,Btech,ECE,8.92
Female,PHD,CND,7.98
Male,MS,CSE,7.83
Female,Btech,ECE,5.8
Male,Btech,ECE,4.83
Male,MS,CSE,9.11
Male,MS,CSE,8.42
Male,MS,CHD,9.42
Female,Btech,CHD,6.1
Male,Btech,CSE,5.33
Male,Btech,CSE,7.71
Male,Btech,CHD,6.01
Female,Btech,ECE,5.55
Male,Btech,ECE,7.18
Female,MS,ECE,8.04
Female,MS,ECE,7.36
Male,Btech,CHD,6.47
Other,Btech,CSE,6.36
Male,PHD,ECE,8.01
Female,Btech,CSE,9.09
Female,Btech,CSE,7.2
Male,PHD,CND,8.08
Male,Btech,CSE,6.2
Female,Btech,CND,7.32
Female,Btech,ECE,7.34
Male,MS,ECE,8.85
Male,PHD,CHD,7.72
Female,Btech,CSE,7.88
Male,Btech,ECE,6.7
Male,Btech,ECE,8.19
Male,Btech,CND,7.09
Male,MS,CSE,8.24
Female,Btech,ECE,7.09
Male,PHD,CHD,8.34
Male,Btech,CND,6.15
Female,Btech,CSE,7.37
Female,Btech,CND,6.16
Female,Btech,CHD,7.9
Male,Btech,ECE,9.36
Female,Btech,ECE,6.54
Female,Btech,CHD,6.57
Male,Btech,CHD,8.0
Male,Btech,CSE,6.83
Female,Btech,ECE,7.11
Male,Btech,CND,8.43
Female,Btech,CSE,5.41
Male,PHD,CSE,8.61
Male,Btech,ECE,5.84
Male,Btech,ECE,7.35
Female,Btech,ECE,7.01
Female,MS,CHD,7.62
Female,Btech,CND,8.59
Male,Btech,CSE,8.31
Male,Btech,CSE,6.69
Male,Btech,CSE,8.04
Male,Btech,ECE,6.28
Female,MS,CND,6.85
Male,Btech,CHD,8.52
Male,MS,CHD,7.68
Male,Btech,CSE,7.43
Female,Btech,CSE,7.53
Male,Btech,CSE,6.07
Other,MS,ECE,7.81
Male,Btech,CND,7.93
Male,PHD,CHD,7.13
Female,Btech,CSE,6.88
Female,PHD,ECE,8.1
Female,Btech,ECE,6.43
Male,Btech,CSE,8.45
Female,MS,CND,8.83
Male,PHD,ECE,8.74
Female,PHD,CSE,7.75
Female,PHD,CSE,7.92
Male,Btech,ECE,7.29
Male,Btech,CND,7.92
Female,MS,CSE,9.41
Female,Btech,CHD,8.35
Male,Btech,CSE,8.03
Male,PHD,CSE,9.01
Male,Btech,CND,7.07
Male,Btech,ECE,6.61
Female,Btech,CSE,7.83
Male,PHD,CHD,8.77
Female,Btech,CHD,8.52
Male,Btech,ECE,5.13
Female,Btech,CSE,6.48
Male,Btech,CSE,7.81
Male,Btech,CHD,5.97
Male,Btech,CHD,7.21
Female,Btech,CSE,8.59
Female,Btech,ECE,6.68
Female,Btech,CHD,5.16
Male,Btech,CND,5.71
Male,Btech,CSE,8.06
Other,MS,CHD,7.23
Female,PHD,CSE,8.73
Male,Btech,ECE,8.18
Male,PHD,CSE,8.52
Female,Btech,CND,7.84
Female,Btech,ECE,7.13
Male,Btech,ECE,6.72
Male,Btech,ECE,7.0
Male,Btech,CSE,7.06
Female,Btech,ECE,6.47
Male,Btech,ECE,5.6
Male,PHD,CSE,7.54
Male,MS,CHD,7.4
Female,Btech,CHD,8.05
Male,Btech,CND,6.93
Female,Btech,CHD,6.59
Female,Btech,ECE,9.06
Male,PHD,CND,8.48
Female,Btech,ECE,7.22
Female,MS,CSE,7.78
Female,MS,CHD,7.22
Female,Btech,CSE,7.01
Female,Btech,CHD,7.07
Male,Btech,ECE,6.38
Male,Btech,CSE,8.25
Male,PHD,CHD,7.7
Female,Btech,ECE,8.24
Male,Btech,ECE,7.83
Male,Btech,CSE,7.9
Female,PHD,CHD,9.77
Male,Btech,ECE,7.43
Male,PHD,CND,9.06
Male,Btech,CSE,6.03
Male,Btech,ECE,8.03
Male,Btech,ECE,7.92
Male,Btech,ECE,6.77
Male,MS,CHD,7.93
Male,PHD,CSE,8.16
Female,Btech,CHD,7.24
Male,Btech,CSE,7.84
Male,MS,ECE,6.5
Female,MS,ECE,7.53
Female,Btech,ECE,4.43
